housing_median_age,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,dist_to_los_angeles_km,dist_to_san_diego_km,dist_to_san_jose_km,dist_to_san_francisco_km,dist_to_fresno_km,rooms_per_household,bedrooms_per_household,population_per_household
41.0,8.3252,452600.0,False,False,True,False,556.5311990142241,735.5042567007139,67.42486544865353,20.329541610139717,250.60687037085864,6.984126984126984,1.0238095238095237,2.5555555555555554
21.0,8.3014,358500.0,False,False,True,False,554.2818853837495,733.2393305315497,65.0443778150216,19.908065158335575,248.74686307600993,6.238137082601054,0.9718804920913884,2.109841827768014
52.0,7.2574,352100.0,False,False,True,False,554.6127387775997,733.528119552689,64.88303523827196,17.835390348575256,249.73877015762784,8.288135593220339,1.073446327683616,2.8022598870056497
52.0,5.6431,341300.0,False,False,True,False,555.196283441792,734.0977242547541,65.31076430794005,17.064123285131217,250.50757443229654,5.8173515981735155,1.0730593607305936,2.547945205479452
52.0,3.8462,342200.0,False,False,True,False,555.196283441792,734.0977242547541,65.31076430794005,17.064123285131217,250.50757443229654,6.281853281853282,1.0810810810810811,2.1814671814671813
52.0,4.0368,269700.0,False,False,True,False,555.196283441792,734.0977242547541,65.31076430794005,17.064123285131217,250.50757443229654,4.761658031088083,1.1036269430051813,2.139896373056995
52.0,3.6591,299200.0,False,False,True,False,554.3664193761562,733.2522387297427,64.34524059578757,16.5493067405044,249.97326416095996,4.9319066147859925,0.9513618677042801,2.1284046692607004
52.0,3.12,241400.0,False,False,True,False,554.3664193761562,733.2522387297427,64.34524059578757,16.5493067405044,249.97326416095996,4.797527047913447,1.061823802163833,1.7882534775888717
42.0,2.0804,226700.0,False,False,True,False,554.9517576079999,733.8232514662566,64.78856281131532,15.763967284619216,250.74457247832447,4.294117647058823,1.1176470588235294,2.026890756302521
52.0,3.6912,261100.0,False,False,True,False,554.3664193761562,733.2522387297427,64.34524059578757,16.5493067405044,249.97326416095996,4.970588235294118,0.9901960784313726,2.172268907563025
52.0,3.2031,281500.0,False,False,True,False,555.7806706787678,734.6680054478936,65.74751771264371,16.30370674270773,251.2771393049592,5.477611940298507,1.0796019900497513,2.263681592039801
52.0,3.2705,241800.0,False,False,True,False,555.7806706787678,734.6680054478936,65.74751771264371,16.30370674270773,251.2771393049592,4.772479564032698,1.0245231607629428,2.0490463215258856
52.0,3.075,213500.0,False,False,True,False,555.7806706787678,734.6680054478936,65.74751771264371,16.30370674270773,251.2771393049592,5.322649572649572,1.0128205128205128,2.3461538461538463
52.0,2.6736,191300.0,False,False,True,False,554.9517576079999,733.8232514662566,64.78856281131532,15.763967284619216,250.74457247832447,4.0,1.0977011494252873,1.9827586206896552
52.0,1.9167,159200.0,False,False,True,False,555.7806706787678,734.6680054478936,65.74751771264371,16.30370674270773,251.2771393049592,4.262903225806451,1.0096774193548388,1.9548387096774194
50.0,2.125,140000.0,False,False,True,False,555.7806706787678,734.6680054478936,65.74751771264371,16.30370674270773,251.2771393049592,4.242424242424242,1.071969696969697,2.640151515151515
52.0,2.775,152500.0,False,False,True,False,556.3658978273564,735.238961552148,66.1931168154453,15.555732042007362,252.04745780014696,5.9395770392749245,1.0483383685800605,2.395770392749245
52.0,2.1202,155500.0,False,False,True,False,556.3658978273564,735.238961552148,66.1931168154453,15.555732042007362,252.04745780014696,4.052805280528053,0.966996699669967,2.1386138613861387
50.0,1.9911,158700.0,False,False,True,False,554.9517576079999,733.8232514662566,64.78856281131532,15.763967284619216,250.74457247832447,5.343675417661098,1.0859188544152745,2.3627684964200477
52.0,2.6033,162900.0,False,False,True,False,555.5379351929855,734.3949388989157,65.2407728510279,14.988975296848977,251.51662574629123,5.465454545454546,1.0836363636363637,2.5090909090909093
40.0,1.3578,147500.0,False,False,True,False,556.3658978273564,735.238961552148,66.1931168154453,15.555732042007362,252.04745780014696,4.524096385542169,1.108433734939759,2.463855421686747
42.0,1.7135,159800.0,False,False,True,False,556.3658978273564,735.238961552148,66.1931168154453,15.555732042007362,252.04745780014696,4.478142076502732,1.0027322404371584,2.5382513661202184
52.0,1.725,113900.0,False,False,True,False,555.5379351929855,734.3949388989157,65.2407728510279,14.988975296848977,251.51662574629123,5.096234309623431,1.1317991631799162,2.1234309623430963
52.0,2.1806,99700.0,False,False,True,False,555.5379351929855,734.3949388989157,65.2407728510279,14.988975296848977,251.51662574629123,5.193846153846154,1.0369230769230768,2.624615384615385
52.0,2.6,132600.0,False,False,True,False,555.5379351929855,734.3949388989157,65.2407728510279,14.988975296848977,251.51662574629123,5.270142180094787,1.0355450236966826,2.3838862559241707
41.0,2.4038,107500.0,False,False,True,False,556.9519622337499,735.8105909905904,66.64738418668126,14.822082889883042,252.81852302059013,4.495798319327731,1.0336134453781514,2.6638655462184873
49.0,2.4597,93800.0,False,False,True,False,556.9519622337499,735.8105909905904,66.64738418668126,14.822082889883042,252.81852302059013,4.7280334728033475,1.0209205020920502,2.5397489539748954
52.0,1.808,105500.0,False,False,True,False,556.9519622337499,735.8105909905904,66.64738418668126,14.822082889883042,252.81852302059013,4.7808564231738035,1.0604534005037782,2.7758186397984885
50.0,1.6424,108900.0,False,False,True,False,556.1249494708186,734.9672994474714,65.7016871913826,14.226021986526495,252.28941711719355,4.40169133192389,1.040169133192389,2.3911205073995774
52.0,1.6875,132000.0,False,False,True,False,556.1249494708186,734.9672994474714,65.7016871913826,14.226021986526495,252.28941711719355,4.703225806451613,1.032258064516129,2.5483870967741935
49.0,1.9274,122300.0,False,False,True,False,556.1249494708186,734.9672994474714,65.7016871913826,14.226021986526495,252.28941711719355,5.068783068783069,1.1825396825396826,2.2830687830687832
52.0,1.9615,115200.0,False,False,True,False,556.1249494708186,734.9672994474714,65.7016871913826,14.226021986526495,252.28941711719355,4.882086167800454,1.090702947845805,2.6485260770975056
48.0,1.7969,110400.0,False,False,True,False,555.5379351929855,734.3949388989157,65.2407728510279,14.988975296848977,251.51662574629123,5.737313432835821,1.2208955223880598,3.062686567164179
49.0,1.375,104900.0,False,False,True,False,554.7109631834888,733.5516274857764,64.29355340645644,14.48553831851408,250.98959527902204,5.0303951367781155,1.1124620060790273,2.291793313069909
51.0,2.7303,109700.0,False,False,True,False,554.7109631834888,733.5516274857764,64.29355340645644,14.48553831851408,250.98959527902204,4.972014925373134,1.0708955223880596,2.3470149253731343
49.0,1.4861,97200.0,False,False,True,False,554.7109631834888,733.5516274857764,64.29355340645644,14.48553831851408,250.98959527902204,4.6022727272727275,1.0681818181818181,2.159090909090909
